date,cases,deaths,location
12/31/2019,0,0,France
1/1/2020,0,0,France
1/2/2020,0,0,France
1/3/2020,0,0,France
1/4/2020,0,0,France
1/5/2020,0,0,France
1/6/2020,0,0,France
1/7/2020,0,0,France
1/8/2020,0,0,France
1/9/2020,0,0,France
1/10/2020,0,0,France
1/11/2020,0,0,France
1/12/2020,0,0,France
1/13/2020,0,0,France
1/14/2020,0,0,France
1/15/2020,0,0,France
1/16/2020,0,0,France
1/17/2020,0,0,France
1/18/2020,0,0,France
1/19/2020,0,0,France
1/20/2020,0,0,France
1/21/2020,0,0,France
1/22/2020,0,0,France
1/23/2020,0,0,France
1/24/2020,0,0,France
1/25/2020,3,0,France
1/26/2020,0,0,France
1/27/2020,0,0,France
1/28/2020,0,0,France
1/29/2020,1,0,France
1/30/2020,1,0,France
1/31/2020,1,0,France
2/1/2020,0,0,France
2/2/2020,0,0,France
2/3/2020,0,0,France
2/4/2020,0,0,France
2/5/2020,0,0,France
2/6/2020,0,0,France
2/7/2020,0,0,France
2/8/2020,5,0,France
2/9/2020,0,0,France
2/10/2020,0,0,France
2/11/2020,0,0,France
2/12/2020,0,0,France
2/13/2020,0,0,France
2/14/2020,0,0,France
2/15/2020,0,1,France
2/16/2020,0,0,France
2/17/2020,1,0,France
2/18/2020,0,0,France
2/19/2020,0,0,France
2/20/2020,0,0,France
2/21/2020,0,0,France
2/22/2020,0,0,France
2/23/2020,0,0,France
2/24/2020,0,0,France
2/25/2020,0,0,France
2/26/2020,2,0,France
2/27/2020,3,1,France
2/28/2020,21,0,France
2/29/2020,19,0,France
3/1/2020,43,0,France
3/2/2020,30,0,France
3/3/2020,48,1,France
3/4/2020,34,1,France
3/5/2020,73,0,France
3/6/2020,138,3,France
3/7/2020,190,2,France
3/8/2020,103,1,France
3/9/2020,410,9,France
3/10/2020,286,11,France
3/11/2020,372,3,France
3/12/2020,497,15,France
3/13/2020,595,13,France
3/14/2020,785,18,France
3/15/2020,838,12,France
3/16/2020,924,36,France
3/17/2020,1210,21,France
3/18/2020,1097,27,France
3/19/2020,1404,69,France
3/20/2020,1861,128,France
3/21/2020,1617,78,France
3/22/2020,1847,112,France
3/23/2020,1559,112,France
3/24/2020,3838,186,France
3/25/2020,2446,240,France
3/26/2020,2931,231,France
3/27/2020,3922,365,France
3/28/2020,3809,299,France
3/29/2020,4611,319,France
3/30/2020,2599,292,France
3/31/2020,4376,418,France
